X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
8.143,35.409,962,9.9,279,-100.228487776661950,-30.25233985529946779,circle,,9.9,newsites,false,2.5819888974716112,1,up,Theveste,Theveste,10000,0,orbcities
8.256,50.007,963,9.9,284,-99.022018374738806,125.60642412057885053,circle,,9.9,newsites,false,3.1622776601683795,1,up,Mogontiacum,Moguntiacum (Mainz),15000,0,orbcities
21.831,38.399,964,9.9,251,45.914460661605098,1.67105405399471851,circle,,9.9,newsites,false,2.5819888974716112,1,up,Naupactus,0,10000,0,orbcities
14.505,46.05,965,9.9,73,-32.303192776351089,83.35864161252632698,circle,,9.9,newsites,false,2.0000000000000000,1,up,Emona,Emona,6000,0,orbcities
7.754,36.888,966,9.9,102,-104.381732000981501,-14.46147042658841642,circle,,9.9,newsites,false,2.5819888974716112,1,up,Hippo Regius,Hippo Regius,10000,0,orbcities
34.048,38.384,967,9.9,117,176.351953434129143,1.51090324842969159,circle,,9.9,newsites,false,2.5819888974716112,1,up,Archelais,0,10000,0,orbcities
27.225,31.356,968,9.9,236,103.504690342786631,-73.52508751896807837,circle,,9.9,newsites,false,3.0550504633038935,1,up,Paraetonium,0,14000,0,orbcities
-4.112,43.0,969,9.9,82,-231.071695923284040,50.79464448097211715,circle,,9.9,newsites,false,2.3094010767585029,1,up,Iuliobriga,0,8000,0,orbcities
4.809,44.137,970,9.9,134,-135.824673493580605,62.93407554280070570,circle,,9.9,newsites,false,2.5819888974716112,1,up,Arausio,Arausio,10000,0,orbcities
30.856,36.967,971,9.9,102,142.271862009892686,-13.61800951727929920,circle,,9.9,newsites,false,2.5819888974716112,1,up,Perge,0,10000,0,orbcities
12.287,41.754,972,9.9,186,-55.984158559232178,37.49145089870435754,circle,,9.9,newsites,false,5.1639777949432224,1,up,Ostia/Portus,Ostia,40000,0,orbcities
20.95,32.707,973,9.9,215,36.508270014752867,-59.10083829774521291,circle,,9.9,newsites,false,4.4721359549995796,1,up,Ptolemais,Ptolemais,30000,0,orbcities
-3.625,38.037,974,9.9,151,-225.872133102606341,-2.19391872030780588,circle,,9.9,newsites,false,2.3094010767585029,1,up,Castulo,0,8000,0,orbcities
21.233,44.736,975,9.9,118,39.529781879746274,69.32943104503050336,circle,,9.9,newsites,false,2.8867513459481291,1,up,Viminacium,Viminacium,12500,0,orbcities
23.194,47.168,976,9.9,26,60.466830527279988,95.29521498730591134,circle,,9.9,newsites,false,2.3094010767585029,1,up,Porolissum,0,8000,0,orbcities
34.458,31.51,977,9.9,137,180.729408786239674,-71.88087258183387007,circle,,9.9,newsites,false,2.5819888974716112,1,up,Gaza,0,10000,0,orbcities
39.718,41.002,978,9.9,188,236.888957937707062,29.46255717971136079,circle,,9.9,newsites,false,2.5819888974716112,1,up,Trapezus,0,10000,0,orbcities
